Record_ID,Date,Time,Junction_ID,Vehicle_ID,Vehicle_Type,Direction,Lane,Signal_State,Signal_Duration,Waiting_Time,Vehicle_Speed,Speed_Limit,Helmet,Seat_Belt,Stop_Line_Crossed,Lane_Compliance,Phone_Usage,U_Turn,U_Turn_Allowed,Overloading,Violation,Violation_Type,Fine_Amount,Accident,Weather,Road_Condition,Traffic_Density
R023084,2026-02-01,08:43:27,J015,MH14-4154-Q04397,Bike,West,3.0,Green,172,8.4,33.2,40,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Cloudy,Good,47.5
R003110,2026-05-16,11:55:52,J002,UP32-7008-L01593,Auto,West,3.0,Red,166,77.9,53.5,60,,,No,Yes,No,No,No,Yes,Yes,Overloading,2000,No,Cloudy,Good,39.9
R018907,2026-04-02,17:49:43,J001,MH14-2889-E02591,Bike,North,2.0,Green,136,11.9,43.2,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,95.5
R010885,2026-02-27,06:05:06,J009,TN09-4330-G05220,Bike,South,1.0,Red,127,40.0,72.8,40,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Good,25.6
R019286,23 Feb 2026,07:35:35,J008,MH20-2016-Q04995,Auto,South,6.0,Red,127,40.1,51.3,80,,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,18.8
R006281,2026-05-23,04:59:46,J006,MH20-4016-F03142,Car,West,1.0,Green,98,0.0,23.5,60,,Yes,No,Yes,No,Yes,Yes,No,No,,0,No,Clear,Average,5.7
R014729,2026-02-02,19:03:33,J008,UP32-1731-J00526,Bike,West,5.0,Red,127,63.6,56.8,80,Yes,,No,Yes,No,No,No,No,No,,0,No,Fog,Average,91.0
R022946,2026-04-09,06:29:09,J004,MH20-8304-M00895,Bike,South,2.0,Red,169,57.6,60.4,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Poor,2.0
R012663,2026-03-18,19:09:57,J005,KA05-1462-P02892,Auto,West,1.0,Green,103,9.4,23.9,50,,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Average,71.7
R009125,2026-02-08,17:33:35,J006,TN09-7090-P00797,Bike,North,3.0,Green,98,4.1,26.0,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Fog,Average,56.0
R007498,2026-06-08,18:31:38,J001,DL08-8301-C03450,Truck,East,1.0,Green,136,13.1,46.8,60,,Yes,No,Yes,No,No,Yes,Yes,Yes,Overloading,2000,No,Clear,Good,81.3
R005957,2026-07-30,10:15:13,J009,MH20-8167-C00222,Car,East,3.0,Red,127,68.4,28.4,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,83.9
R019184,2026-03-29,16:10:35,J008,MH12-5473-B01909,Bike,West,2.0,Green,127,10.2,55.3,80,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,51.0
R019772,2026-06-24,17:31:23,J004,MH14-3924-R00722,Bus,East,1.0,Green,169,8.2,19.8,40,,No,No,Yes,No,No,No,No,Yes,No Seat Belt,1000,No,Clear,Poor,64.3
R014963,13 Jul 2026,10:13:33,J014,MH20-1121-K03611,Car,West,1.0,Red,145,76.7,25.5,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,92.9
R011487,2026-02-23,00:27:49,J011,DL08-8171-P03947,Car,West,4.0,Red,157,52.6,57.5,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Fog,Good,14.8
R008536,12 Mar 2026,17:00:38,J012,KA05-5979-M04336,Car,West,3.0,Green,143,11.2,30.2,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,77.7
R003521,2026-07-23,06:08:21,J003,UP32-3143-N04006,Bus,East,4.0,Red,152,49.7,62.5,60,,Yes,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,13.6
R000266,2026-05-07,22:53:41,J014,DL08-1432-M04987,Car,West,2.0,Red,145,53.9,30.1,40,,Yes,No,Yes,No,No,No,No,No,,0,No,,Good,24.5
R013296,2026-03-19,19:49:29,J009,GJ01-1833-G02229,Car,East,2.0,Green,127,11.5,20.3,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,88.8
R025609,2026-04-05,12:24:56,J002,DL08-3618-P04174,Car,South,1.0,Green,166,9.7,73.1,60,,Yes,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Rain,Good,57.1
R023219,2026-05-06,16:58:33,J007,MH14-3308-P03258,Bike,East,3.0,Yellow,74,9.6,28.8,60,,,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Clear,Average,65.6
R004532,2026-02-04,14:50:17,J007,UP32-5771-B00103,Auto,East,4.0,Yellow,74,10.2,50.6,60,,,No,Yes,No,No,Yes,No,No,,0,No,Fog,Average,56.0
R022578,2026-03-12,12:36:06,J002,MH12-1816-G04548,Car,North,3.0,Red,166,67.0,32.7,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,33.3
R005897,2026-03-12,10:47:02,J004,GJ01-5214-F02221,Car,East,1.0,Red,169,67.3,42.9,40,,Yes,Yes,No,No,Yes,No,No,Yes,Over Speeding,2000,No,Clear,Poor,83.2
R009109,2026-05-05,09:50:18,J001,MH12-5683-J04163,Taxi,East,3.0,Red,136,54.9,24.4,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Fog,Good,82.9
R000342,2026-07-07,12:51:59,J008,UP32-5596-L01674,Bike,North,1.0,Green,127,8.0,37.6,80,Yes,,No,Yes,No,No,No,No,No,,0,No,Rain,Average,58.9
R004622,09-03-2026,09:24:20,J014,GJ01-8717-C05263,Car,South,2.0,Red,145,69.2,25.4,40,,Yes,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Clear,Good,90.5
R016895,23-06-2026,13:08:38,J011,MH12-7548-J03488,Auto,East,3.0,Green,157,10.3,36.7,60,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,62.1
R001403,2026-02-13,10:19:03,J005,DL08-8194-P01206,Car,North,4.0,Red,103,49.5,38.9,50,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,75.4
R011747,2026-05-02,09:20:54,J007,UP32-1115-N03906,Car,East,2.0,Green,74,8.4,19.4,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,72.0
R003041,2026-02-17,4:25:22 PM,J003,GJ01-1327-D04424,Car,North,2.0,Red,152,73.3,50.3,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,72.9
R007273,2026-02-27,05:00:22,J015,MH14-7102-E03251,Car,South,3.0,Red,172,54.7,21.0,40,,Yes,No,No,No,No,Yes,No,Yes,Wrong Lane,500,No,Clear,Good,23.3
R024404,2026-03-03,04:36:27,J013,UP32-4937-R00088,Auto,East,2.0,Green,98,1.9,27.6,40,,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Good,12.8
R014241,2026-06-13,18:38:23,J002,GJ01-3607-H03884,Car,West,1.0,Green,166,11.4,41.9,60,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Mobile Phone Usage,1500,No,,Good,67.7
R025515,2026-05-07,09:34:01,J010,TN09-8089-Q04049,BIKE,East,2.0,Green,176,13.1,33.9,60,Yes,,No,Yes,No,Yes,Yes,No,No,,0,No,Clear,Average,71.4
R024616,2026-05-09,11:02:52,J010,MH14-1183-J01357,Bike,South,5.0,Red,176,56.7,28.0,60,Yes,,Yes,Yes,No,No,No,No,Yes,Red Light Jumping,1000,No,Cloudy,Average,24.9
R018756,2026-04-02,16:07:58,J006,GJ01-7703-B04057,Taxi,North,1.0,Green,98,15.7,50.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Average,86.2
R023525,2026-04-24,05:27:34,J001,UP32-2904-J00719,Truck,East,3.0,Green,136,0.0,35.0,60,,Yes,No,Yes,No,No,No,Yes,Yes,Overloading,2000,No,Clear,Good,14.0
R000325,24 Jul 2026,20:00:00,J007,DL08-5819-Q00634,Bike ,East,2.0,Red,74,60.7,45.2,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,74.0
R014584,2026-06-08,19:45:01,J005,KA05-2031-Q03288,Bike,North,2.0,Green,103,13.1,36.2,50,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,79.3
R008020,20 Mar 2026,09:44:34,J007,MH14-8445-M02560,Car,West,1.0,Green,74,7.4,41.8,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,68.1
R024232,2026-03-08,19:01:51,j010,MH14-4248-R03746,Auto,North,1.0,Red,176,67.1,45.3,60,,,No,Yes,No,No,No,No,No,,0,No,Clear,,56.2
R016973,2026-02-10,00:36:20,J005,UP32-1891-L03807,Bus,North,4.0,Green,103,0.5,20.1,50,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,14.3
R021247,2026-07-19,23:02:43,J002,TN09-1272-L04427,Taxi,West,4.0,Red,166,59.8,38.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,23.2
R009779,2026-07-01,15:51:57,J013,MH20-3046-A03313,Car,North,2.0,Green,98,9.3,35.3,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,56.5
R008236,2026-06-21,20:17:41,J004,MH12-1379-M04331,Car,East,2.0,Red,169,71.6,21.8,40,,No,No,Yes,No,No,Yes,No,Yes,No Seat Belt,1000,No,Rain,Poor,63.5
R008220,2026-05-02,18:05:19,J015,KA05-9656-D05488,Truck,South,3.0,Red,172,59.6,31.4,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,58.8
R002343,2026-06-25,18:41:40,J015,KA05-1298-C02520,Car,North,1.0,Yellow,172,10.5,43.4,40,,Yes,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Good,84.6
R014887,06/06/2026,15:16:50,J009,UP32-4666-F04187,Car,East,1.0,Red,127,49.3,17.8,40,,Yes,Yes,No,No,No,No,No,Yes,Red Light Jumping,1000,No,Clear,Good,61.7
R005624,2026-04-07,17:24:00,J009,UP32-8365-H04718,Taxi,East,1.0,Green,127,14.0,29.9,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,77.2
R010364,2026-03-31,17:30:24,J009,DL08-1594-N02429,Bike,North,3.0,Red,127,61.1,33.7,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,74.1
R019725,2026-02-19,14:03:22,J009,GJ01-1009-M04949,Car,East,2.0,Green,127,5.7,41.1,40,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,62.5
R016303,2026-05-25,09:43:06,J002,MH14-9622-N04882,Car,West,3.0,Green,166,13.0,34.3,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,93.7
R014858,2026-03-05,20:13:40,J007,GJ01-4046-M01655,Bus,East,1.0,Green,74,9.3,33.1,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,71.6
R001835,2026-06-19,03:17:17,J012,MH20-3471-C03082,Bike,North,2.0,Red,143,53.7,24.6,40,Yes,,Yes,Yes,No,No,No,No,Yes,Red Light Jumping,1000,No,Clear,Average,11.7
R010134,2026-05-26,06:02:38,J014,GJ01-3123-P04137,Car,North,1.0,Red,145,55.9,25.9,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,21.0
R000409,2026-02-05,15:58:34,J003,KA05-9374-P02407,Bike,East,1.0,Green,152,6.8,47.0,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,46.5
R021419,2026-07-29,19:40:09,J007,KA05-3742-A01256,Bus,East,3.0,Red,74,45.7,38.2,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,89.0
R003850,2026-07-07,14:22:29,J007,UP32-9106-R01315,Bike,West,1.0,Red,74,30.7,40.5,60,Yes,,Yes,Yes,No,No,No,No,Yes,Red Light Jumping,1000,No,Cloudy,Average,53.5
R013355,2026-02-14,10:50:31,J013,UP32-2647-E00301,Bike,East,2.0,  Green ,98,10.9,33.0,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Good,71.5
R013044,2026-06-05,21:26:53,J007,MH14-9937-K04325,Bike,South,4.0,Red,74,19.3,45.5,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Average,38.3
R003433,2026-06-23,01:26:30,J001,UP32-9771-L02156,Taxi,South,3.0,Green,136,3.0,57.2,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,3.0
R014364,09-06-2026,07:12:34,J012,KA05-3622-C03597,Bike,West,2.0,Green,143,0.0,25.9,40,Yes,,No,Yes,No,No,No,No,No,,0,No,,Average,5.6
R013653,2026-05-13,08:07:11,J012,MH20-4208-G02581,Car,South,3.0,Red,143,46.6,20.9,40,,No,No,Yes,No,No,No,No,Yes,No Seat Belt,1000,No,Rain,Average,73.4
R005809,2026-06-19,21:18:39,J012,DL08-5836-C04493,Car,South,1.0,Green,143,7.1,34.5,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,30.7
R006274,05/27/2026,07:35:44,J008,MH14-4248-R03746,Auto Rickshaw,West,6.0,Red,127,51.2,64.4,80,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,18.2
R010396,2026-05-19,20:44:00,J012,DL08-5224-E05241,Bike,South,,Green,143,17.7,21.0,40,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Clear,Average,86.2
R009667,2026-06-25,12:48:55,J014,DL08-5790-E01776,Bike,East,1.0,Green,145,10.6,35.8,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,50.3
R020273,2026-05-27,08:22:26,J015,TN09-2775-H00151,Bike,South,2.0,Red,172,71.4,39.7,40,,,No,Yes,No,No,No,No,No,,0,No,Rain,Good,79.0
R016077,2026-02-13,10:56:25,J002,GJ01-6629-C02307,Car,West,2.0,Red,166,65.6,53.4,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,80.5
R011086,2026-02-16,13:14:55,J015,DL08-6351-Q02067,Car,East,1.0,Red,172,75.8,23.7,40,,Yes,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Rain,Good,75.8
R002717,2026-07-18,18:10:00,J015,KA05-9356-E03712,Truck,West,3.0,Green,172,3.4,19.8,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,65.9
R004819,2026-02-01,17:46:26,J003,DL08-5823-E02668,Auto,East,4.0,Red,152,73.4,36.5,60,,,No,Yes,No,No,Yes,No,No,,0,No,Fog,Average,60.8
R006036,2026-04-25,18:35:12,J007,MH12-6828-A01488,Bus,North,2.0,Green,74,5.4,32.4,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,60.1
R000993,2026-02-11,19:34:18,J010,MH12-5664-A02673,Bike,West,1.0,Green,176,17.3,71.8,60,,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,77.9
R004596,2026-02-01,20:58:53,J004,MH14-7785-B03828,Car,North,1.0,Red,169,68.7,22.2,40,,Yes,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Clear,Poor,72.4
R007170,2026-04-19,09:02:50,J014,MH14-9360-K03483,Bike,South,1.0,Green,145,11.3,23.3,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,68.2
R015826,2026-04-25,19:08:58,J015,TN09-8415-R01699,Car,North,1.0,Red,172,60.3,45.3,40,,Yes,Yes,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,53.3
R020771,2026-07-27,08:16:00,J008,UP32-6766-J01683,car,West,3.0,Green,127,18.5,49.3,80,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,94.5
R013699,2026-04-26,17:03:36,J002,MH14-1826-Q01202,Bike,East,4.0,Green,166,11.4,50.3,60,Yes,,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Clear,Good,64.8
R019038,2026-07-23,9:50:35 PM,J008,MH12-6405-E04297,Car,West,5.0,Green,127,0.0,55.3,80,,Yes,No,Yes,No,No,No,No,No,,0,No,Rain,Average,24.1
R011380,2026-06-11,18:35:26,J008,DL08-5118-K03010,Car,West,1.0,Red,127,73.0,88.2,80,,No,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,92.1
R022103,2026-06-08,19:06:44,J009,MH20-1918-E03410,Bike,West,2.0,Red,127,69.8,37.9,40,Yes,,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Clear,Good,90.2
R014746,2026-02-02,1:11:44 PM,J008,MH12-6598-F02888,Bike,West,4.0,Red,127,58.5,59.5,80,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,,62.7
R017296,2026-05-29,20:38:42,J010,MH20-3482-Q01583,Car,South,2.0,Green,176,8.6,67.6,60,,Yes,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,77.4
R018351,2026-07-16,19:23:55,J015,UP32-2620-M05672,Bike,South,3.0,Green,172,11.1,39.2,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,76.1
R022977,2026-07-17,4:54:29 PM,J007,MH12-7313-P01393,Bike,West,3.0,Red,74,55.4,44.4,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,67.0
R020077,2026-04-21,09:48:09,J005,KA05-8264-G02555,Bike,East,4.0,Green,103,7.2,53.4,50,No,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Average,74.6
R025768,2026-05-13,06:21:56,J015,MH14-6014-G04769,Bike,East,3.0,Red,172,58.7,58.3,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,20.3
R009362,2026-07-16,02:33:32,J007,GJ01-1820-D04201,Auto,East,2.0,Red,74,22.6,52.1,60,,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,15.9
R023198,2026-05-25,16:29:44,J004,TN09-8675-E01194,Bike,South,2.0,Red,169,88.8,24.8,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Poor,60.7
R011262,2026-06-22,11:46:40,J001,GJ01-9714-P04348,Car ,East,1.0,Yellow,136,12.4,44.0,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,58.8
R003290,2026-07-10,20:38:51,J011,DL08-4249-Q02781,Bike ,South,4.0,Green,157,14.1,32.9,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,81.8
R025086,2026-05-10,11:12:02,J007,TN09-4692-N03650,Auto,North,1.0,Red,74,42.2,23.3,60,,,No,No,No,No,Yes,No,Yes,Wrong Lane,500,No,Cloudy,Average,37.1
R012741,2026-03-02,5:34:08 PM,J007,UP32-4984-H00362,Taxi,North,3.0,Red,74,42.8,39.6,60,,No,No,Yes,No,No,No,No,Yes,No Seat Belt,1000,No,Clear,Average,88.1
R001342,2026-06-05,07:24:14,J006,MH12-3930-Q02812,Car,North,2.0,Red,98,14.8,39.5,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Average,5.1
R006792,2026-05-12,22:14:52,J011,TN09-3808-A05797,Auto,West,1.0,Green,157,0.0,70.5,60,,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,,Good,9.4
R012703,2026-07-22,11:53:08,J006,DL08-1393-B05849,Car,North,5.0,Yellow,98,9.6,30.7,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,61.1
R004930,2026-06-01,10:32:07 PM,J012,KA05-4992-A02151,Car,West,2.0,Green,143,3.3,36.7,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,43.2
R007086,2026-07-30,20:37:23,J009,UP32-7861-C05495,Bike,East,3.0,Red,127,64.7,19.1,40,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Cloudy,Good,86.7
R000143,2026-05-10,12:25:20,J005,MH12-9720-E05374,Truck,West,1.0,Red,103,26.9,33.3,50,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,34.0
R012229,2026-03-08,6:16:05 PM,J014,MH20-4938-E04088,Bike,North,1.0,Green,145,11.3,31.8,40,No,,No,Yes,No,No,Yes,No,Yes,No Helmet,500,No,Clear,Good,75.6
R002689,28-02-2026,12:48:37,J002,KA05-3025-N01865,Car,North,2.0,Green,166,3.8,61.1,60,,No,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,39.9
R012410,2026-06-25,18:18:00,J007,MH12-2208-M01825,Bike,South,1.0,Red,74,50.4,35.3,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Rain,Average,77.6
R002452,2026-06-27,13:37:05,J006,GJ01-2029-B05431,Bike,East,5.0,Red,98,35.3,37.4,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,61.2
R002143,2026-02-16,12:28:30,J011,MH12-7930-G05959,Bike,North,2.0,Green,157,8.2,57.5,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,73.8
R005035,28-05-2026,16:49:27,J009,TN09-5706-R04682,BIKE,East,3.0,Green,127,13.4,49.1,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,66.1
R012005,2026-07-01,04:40:55,J002,MH20-5424-N05346,Car,West,3.0,Green,166,0.0,32.0,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Rain,Good,17.4
R002710,2026-05-13,17:22:24,J001,MH20-6518-E04803,Bike,North,3.0,Green,136,12.3,45.2,60,Yes,,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Clear,Good,91.7
R008592,2026-02-15,17:31:04,J009,MH12-3696-L04184,Auto,  East ,1.0,Red,127,45.2,30.1,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,61.2
R007752,2026-03-15,17:24:47,J008,GJ01-3286-K03799,Car,South,1.0,Red,127,72.0,69.5,80,,Yes,No,Yes,No,Yes,Yes,No,No,,0,No,Clear,Average,72.5
R003165,02-03-2026,19:26:18,J005,MH12-3312-P05450,Car,East,1.0,Red,103,48.5,37.1,50,,,No,Yes,No,No,No,No,No,,0,No,  Clear ,Average,77.6
R020776,2026-04-23,08:22:06,J012,UP32-7154-J03955,Bike,West,2.0,Red,143,63.0,20.4,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,76.5
R024649,2026-06-03,20:42:21,J010,UP32-5153-M01700,Car,South,4.0,Red,176,64.2,47.8,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,85.6
R006718,2026-03-30,13:12:19,J012,KA05-7689-D00153,Bike,South,1.0,Red,143,57.4,45.3,40,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,77.0
R019957,2026-05-30,9:41:16 AM,J006,MH12-3337-B05590,Auto,North,4.0,Green,98,9.0,52.7,60,,,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Clear,Average,58.1
R019220,2026-03-18,14:14:43,J006,TN09-5170-C01318,Bike,South,3.0,Green,98,9.8,45.7,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,28.0
R013525,2026-05-15,8:02:51 AM,J006,MH12-2481-K01942,Auto,East,3.0,Green,98,12.3,27.2,60,,,No,Yes,No,No,No,No,No,,0,No,Rain,Average,79.0
R010909,2026-03-30,20:12:35,J014,KA05-7185-M04616,Bike,West,1.0,Red,145,76.8,25.5,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Good,74.5
R022494,2026-04-06,20:26:47,J014,KA05-6397-H04070,Car,South,1.0,Red,145,78.7,10.7,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,87.3
R018255,2026-04-13,11:58:39,J001,GJ01-2109-R01521,Car,North,3.0,Green,136,4.3,36.6,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Good,43.1
R023549,2026-07-11,07:36:58,J006,DL08-1185-G00872,Bike,South,1.0,Red,98,17.2,40.7,60,No,,No,No,No,No,No,No,Yes,No Helmet,500,No,Clear,Average,9.4
R023935,2026-03-23,08:25:23,J002,DL08-4644-N01377,Truck,East,1.0,Green,166,14.4,42.4,60,,Yes,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Cloudy,Good,88.8
R019599,2026-05-08,10:54:00,J003,DL08-9272-C01065,Bike,North,3.0,Green,152,7.4,29.8,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,77.3
R000586,2026-02-25,13:41:12,J011,DL08-2964-P03124,Bike,South,2.0,Green,157,12.7,41.1,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,82.5
R017210,2026-06-14,19:10:59,J002,DL08-3389-E00736,Truck,South,4.0,Green,166,16.1,32.1,60,,Yes,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Clear,Good,69.3
R018143,2026-07-06,17:45:52,J013,MH14-8218-F03572,Car,North,2.0,Green,98,12.5,36.6,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,71.1
R007228,03/21/2026,17:48:04,J004,UP32-1463-Q03829,Car,South,1.0,Red,169,68.6,27.8,40,,Yes,Yes,Yes,No,No,Yes,No,Yes,Red Light Jumping,1000,No,Clear,Poor,75.5
R017146,2026-02-14,20:07:26,J010,TN09-7717-J02988,Taxi,North,5.0,Red,176,63.7,53.2,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Fog,Average,61.8
R012904,2026-06-04,19:59:43,J009,UP32-4736-R04726,Auto,South,2.0,Green,127,11.4,12.6,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,67.8
R009641,15-04-2026,11:07:59,J015,KA05-4706-D05358,Bike,North,1.0,Red,172,74.7,26.9,40,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Clear,Good,71.9
R023058,2026-06-29,16:54:25,J002,KA05-2207-E04650,Truck,North,4.0,Red,166,73.0,39.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,64.8
R006524,2026-06-16,07:15:59,J003,TN09-3906-P02170,Car,South,4.0,Green,152,1.7,37.9,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,12.2
R025519,2026-05-10,08:39:59,J006,MH14-1257-E05271,Car,East,,Green,98,14.9,38.0,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,76.8
R018949,2026-06-19,20:07:37,J012,GJ01-6759-P00442,Car,East,3.0,Green,143,8.9,39.7,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,78.2
R022210,2026-06-17,02:16:28,J014,MH12-7473-P05078,Bike,East,2.0,Red,145,37.0,29.5,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,14.7
R009525,2026-06-25,2:39:25 PM,J001,MH14-7258-J01534,Taxi,West,1.0,Green,136,10.9,31.2,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,62.4
R012063,2026-03-04,19:56:45,J008,TN09-4197-E03361,Auto,  South ,3.0,Green,127,18.6,60.5,80,,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,90.9
R001290,2026-04-11,15:35:43,J004,MH20-5754-G01886,BIKE,East,1.0,Green,169,15.6,23.8,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Poor,55.9
R024834,2026-03-17,14:16:41,J007,MH12-1047-K05595,Auto,South,4.0,Red,74,49.1,47.1,60,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,82.3
R016296,2026-07-16,11:19:31,J014,TN09-8368-K02043,Auto,East,1.0,Red,145,64.6,31.2,40,,,No,Yes,No,No,No,Yes,Yes,Overloading,2000,No,Cloudy,Good,69.7
